Cell line,APAF1,BAX,BCL2,BFAR,BID,CASP3,CASP6,CASP8,CASP9,CFLAR,CYCS,DIABLO,FADD,PARP1,TNFRSF10A,TNFRSF10B,XIAP
A549,1.4090909090909092,6.67948717948718,-4.0,1.4545454545454544,3.4130434782608696,1.696629213483146,1.5000000000000002,1.6689655172413793,-1.6356589147286822,1.583673469387755,1.1443442054129078,3.2911877394636018,2.3717277486910993,1.0173824130879345,2.2481203007518795,3.44,1.6216216216216215
AN3-CA,1.6666666666666667,3.5743589743589745,3.875,1.6103896103896105,1.7652173913043478,3.269662921348315,2.8392857142857144,1.3655172413793104,-2.370786516853933,-1.4670658682634732,1.7383761276891048,1.590038314176245,1.0785340314136125,2.023517382413088,-133.0,1.556,1.108108108108108
CAPAN-2,-1.5348837209302326,3.7974358974358973,-3.2,2.012987012987013,2.4782608695652173,2.4719101123595504,9.142857142857144,3.2896551724137932,-2.0485436893203883,2.8040816326530615,1.3497571131158919,-1.1917808219178083,2.2094240837696333,-1.1075877689694225,2.112781954887218,1.26,2.135135135135135
Daudi,1.1363636363636365,3.9333333333333336,-8.0,1.525974025974026,-1.7037037037037035,3.393258426966292,-2.545454545454545,-5.8,-2.0485436893203883,-5.833333333333333,1.8827203331020126,1.6245210727969348,1.670157068062827,4.436605316973415,2.300751879699248,-1.6129032258064517,1.4189189189189189
EFO-21,-1.4666666666666666,1.3025641025641026,-1.142857142857143,3.4285714285714284,1.682608695652174,1.4831460674157302,3.035714285714286,1.9172413793103449,-1.37012987012987,1.8897959183673467,-1.021985815602837,1.639846743295019,2.3560209424083767,1.903885480572597,2.962406015037594,2.1519999999999997,3.081081081081081
HDLM-2,1.0454545454545456,3.9666666666666663,29.874999999999996,1.2467532467532467,1.452173913043478,11.370786516853933,7.660714285714286,1.3310344827586207,-4.48936170212766,6.085714285714285,-1.3697718631178706,1.8697318007662835,2.0314136125654447,2.430470347648262,-1.3434343434343434,-1.2376237623762376,1.9189189189189186
HL-60,2.272727272727273,1.9589743589743591,23.374999999999996,1.6818181818181817,3.178260869565217,4.955056179775281,3.642857142857143,1.3310344827586207,-2.6375,-1.2694300518134716,4.03261623872311,2.1494252873563218,1.0680628272251307,3.2044989775051125,-1.371134020618557,-3.7878787878787876,1.9459459459459458
HeLa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
K-562,1.2272727272727273,2.079487179487179,-1.7777777777777777,1.831168831168831,2.634782608695652,5.662921348314606,5.339285714285714,1.7379310344827585,-1.0047619047619047,4.016326530612245,3.6502428868841084,2.586206896551724,1.5759162303664922,3.47239263803681,2.3834586466165413,-1.8115942028985506,1.9054054054054053
MCF7,-4.3999999999999995,2.448717948717949,-1.3333333333333335,1.3896103896103895,7.2956521739130435,1.1235955056179774,2.232142857142857,-1.45,-5.552631578947369,-1.7883211678832118,-1.2274275979557068,2.126436781609195,1.7748691099476437,-1.2750977835723596,-1.1981981981981984,-2.717391304347826,1.689189189189189
MOLT-4,1.2272727272727273,3.2282051282051283,5.0,1.2077922077922079,5.530434782608696,7.95505617977528,9.571428571428573,1.7655172413793105,-7.5357142857142865,-2.692307692307692,2.240111034004164,1.78544061302682,1.324607329842932,1.0449897750511248,-44.333333333333336,-35.714285714285715,1.108108108108108
PC-3,-1.2,1.9435897435897436,-1.0666666666666667,-1.1492537313432836,1.9173913043478261,2.179775280898876,2.7678571428571432,1.5172413793103448,-2.89041095890411,1.2244897959183674,2.198473282442748,3.1379310344827585,3.973821989528796,2.054192229038855,1.3984962406015038,1.26,1.2972972972972971
REH,1.7272727272727275,2.546153846153846,25.125,2.292207792207792,2.865217391304348,6.47191011235955,3.732142857142857,1.4896551724137932,-3.403225806451613,-2.2897196261682247,1.7675225537820958,1.8199233716475094,1.1570680628272252,3.540899795501023,-66.5,-1.3888888888888888,1.3243243243243243
RPMI-8226,-2.8695652173913047,1.4717948717948717,14.312499999999998,1.5389610389610389,-1.1675126903553301,3.191011235955056,1.9642857142857144,2.717241379310345,-1.8189655172413797,1.3020408163265305,1.7529493407356003,1.7509578544061304,1.5602094240837696,3.99079754601227,1.6090225563909772,-2.6315789473684212,1.4594594594594594
RT4,1.484848484848485,3.458974358974359,3.4999999999999996,1.2142857142857142,4.926086956521739,4.404494382022472,3.8571428571428577,1.9310344827586208,-4.688888888888889,1.416326530612245,1.7716863289382374,2.2911877394636013,-1.0914285714285716,1.2004089979550103,2.3759398496240602,1.8119999999999998,2.4324324324324325
SiHa,2.166666666666667,2.6948717948717946,-5.333333333333334,2.4025974025974026,-2.0,4.606741573033708,3.2142857142857144,1.303448275862069,-1.953703703703704,1.546938775510204,1.1977793199167246,2.6973180076628354,2.083769633507853,1.916155419222904,-1.3571428571428572,1.8319999999999999,3.2837837837837838
THP-1,2.8484848484848486,2.956410256410256,16.499999999999996,1.1298701298701297,3.7217391304347824,2.696629213483146,1.1071428571428572,-1.141732283464567,-4.395833333333334,1.2285714285714286,2.01734906315059,1.2758620689655171,-1.0052631578947369,1.6799591002044991,-2.145161290322581,-3.5211267605633805,-1.2542372881355932
WM-115,1.7575757575757576,6.956410256410257,4.0,2.0454545454545454,1.4173913043478261,4.4943820224719095,1.4285714285714286,1.1172413793103448,-4.586956521739131,1.4489795918367347,4.05204718945177,2.2145593869731797,2.4921465968586385,2.2044989775051125,-26.6,3.84,1.527027027027027
